,author,class,data-id,sport,teamname,timestamp,url
7,David Newton,story-link,25973483,nfl,carolina-panthers,9d,http://www.espn.com/nfl/story/_/id/25973483/safety-eric-reid-signs-3-year-deal-return-panthers
8,David Newton,story-link,carolina-panthers-31808,nfl,carolina-panthers,12d,http://espn.com/blog/carolina-panthers/post/_/id/31808/ranking-qbs-the-panthers-could-add-as-cam-newton-insurance-this-offseason
9,David Newton,story-link,25945704,nfl,carolina-panthers,13d,http://www.espn.com/nfl/story/_/id/25945704/carolina-panthers-qb-cam-newton-says-even-more-dangerous-surgery
10,David Newton,story-link,carolina-panthers-31791,nfl,carolina-panthers,14d,http://espn.com/blog/carolina-panthers/post/_/id/31791/panthers-greg-olsen-planning-a-return-to-elite-level-not-retirement
11,Jeremy Willis,story-link,25932328,nfl,carolina-panthers,14d,http://www.espn.com/nfl/story/_/id/25932328/nfl-2018-quiz-how-well-do-remember-season
0,Mike Triplett,story-link,new-orleans-saints-31664,nfl,new-orleans-saints,6d,http://espn.com/blog/new-orleans-saints/post/_/id/31664/are-saints-a-realistic-option-for-quarterback-teddy-bridgewater
1,Jeremy Willis,story-link,25995553,nfl,new-orleans-saints,6d,http://www.espn.com/nfl/story/_/id/25995553/nfl-teams-send-their-valentines
2,Dan Graziano,story-link,25988932,nfl,new-orleans-saints,6d,http://www.espn.com/nfl/story/_/id/25988932/welcome-nfl-ever-rare-quarterback-buyers-market-2019
3,Bill Barnwell,story-link,25966875,nfl,new-orleans-saints,6d,http://www.espn.com/nfl/story/_/id/25966875/five-2019-offseason-moves-nfc-team-make-bill-barnwell-predicts-trades-free-agency-cuts
4,Mike Triplett,story-link,25973632,nfl,new-orleans-saints,8d,http://www.espn.com/nfl/story/_/id/25973632/saints-name-darren-rizzi-special-teams-coordinator
5,Bill Barnwell,story-link,25901330,nfl,new-orleans-saints,9d,http://www.espn.com/espn/feature/story/_/id/25901330/predicting-2019-nfl-offseason-dominoes-free-agents-trades-cause-ripples
6,Michael Triplett,story-link,25945469,nfl,new-orleans-saints,13d,http://www.espn.com/nfl/story/_/id/25945469/saints-david-onyemata-cited-marijuana-possession
7,Jeremy Willis,story-link,25932328,nfl,new-orleans-saints,14d,http://www.espn.com/nfl/story/_/id/25932328/nfl-2018-quiz-how-well-do-remember-season
8,Mike Triplett,story-link,new-orleans-saints-31651,nfl,new-orleans-saints,14d,http://espn.com/blog/new-orleans-saints/post/_/id/31651/saints-biggest-needs-their-own-versions-of-gronk-and-edelman
9,Mike Triplett,story-link,25934034,nfl,new-orleans-saints,14d,http://www.espn.com/nfl/story/_/id/25934034/new-orleans-saints-marcus-davenport-says-come-back-better-surgery
10,Mike Triplett,story-link,25927548,nfl,new-orleans-saints,15d,http://www.espn.com/nfl/story/_/id/25927548/team-gleason-beneficiary-dies-van-fire-en-route-super-bowl
11,Kevin Seifert,story-link,25926181,nfl,new-orleans-saints,15d,http://www.espn.com/nfl/story/_/id/25926181/super-bowl-liii-viewership-lowest-2007-season
12,Ben Fawkes,story-link,25916952,nfl,new-orleans-saints,16d,http://www.espn.com/chalk/story/_/id/25916952/kansas-city-chiefs-early-favorites-win-super-bowl-liv-next-season
13,Adam Schefter,story-link,25913825,nfl,new-orleans-saints,17d,http://www.espn.com/nfl/story/_/id/25913825/rematches-rams-saints-patriots-chiefs-contenders-2019-season-opener
14,Mike Triplett,story-link,25900829,nfl,new-orleans-saints,19d,http://www.espn.com/nfl/story/_/id/25900829/saints-drew-brees-displeased-roger-goodell-silence-blown-call
15,Mike Triplett,story-link,new-orleans-saints-31614,nfl,new-orleans-saints,19d,http://espn.com/blog/new-orleans-saints/post/_/id/31614/drew-brees-historic-season-from-the-15-saints-who-caught-his-td-passes
0,ESPN.com,story-link,26003959,nfl,tampa-bay-buccaneers,2d,http://www.espn.com/nfl/story/_/id/26003959/2019-franchise-tag-candidates-predictions-all-32-nfl-teams
1,Dan Graziano,story-link,25988932,nfl,tampa-bay-buccaneers,6d,http://www.espn.com/nfl/story/_/id/25988932/welcome-nfl-ever-rare-quarterback-buyers-market-2019
2,Bill Barnwell,story-link,25966875,nfl,tampa-bay-buccaneers,6d,http://www.espn.com/nfl/story/_/id/25966875/five-2019-offseason-moves-nfc-team-make-bill-barnwell-predicts-trades-free-agency-cuts
3,Vaughn McClure,story-link,atlanta-falcons-33985,nfl,tampa-bay-buccaneers,8d,http://espn.com/blog/atlanta-falcons/post/_/id/33985/kicker-matt-bryant-43-feels-great-says-tampa-is-an-option
4,Jenna Laine,story-link,tampa-bay-buccaneers-22222,nfl,tampa-bay-buccaneers,8d,http://espn.com/blog/tampa-bay-buccaneers/post/_/id/22222/bruce-arians-playcalling-and-how-it-benefits-jameis-winston-the-bucs
5,Jenna Laine,story-link,25979970,nfl,tampa-bay-buccaneers,8d,http://www.espn.com/nfl/story/_/id/25979970/buccaneers-release-defensive-end-vinny-curry-just-one-season
6,Jenna Laine,story-link,tampa-bay-buccaneers-22209,nfl,tampa-bay-buccaneers,12d,http://espn.com/blog/tampa-bay-buccaneers/post/_/id/22209/matt-bryant-tyrann-mathieu-among-bucs-top-free-agent-prospects
7,Jeremy Willis,story-link,25932328,nfl,tampa-bay-buccaneers,14d,http://www.espn.com/nfl/story/_/id/25932328/nfl-2018-quiz-how-well-do-remember-season
8,Jenna Laine,story-link,tampa-bay-buccaneers-22186,nfl,tampa-bay-buccaneers,14d,http://espn.com/blog/tampa-bay-buccaneers/post/_/id/22186/get-to-know-bruce-arians-the-bucs-coach-who-is-66-and-sexy
9,Jenna Laine,story-link,tampa-bay-buccaneers-22170,nfl,tampa-bay-buccaneers,19d,http://espn.com/blog/tampa-bay-buccaneers/post/_/id/22170/bucs-could-take-pages-from-wade-phillips-book-in-switch-to-3-4-defense
10,Jenna Laine,story-link,25886790,nfl,tampa-bay-buccaneers,20d,http://www.espn.com/nfl/story/_/id/25886790/desean-jackson-play-rams
11,Jenna Laine,story-link,tampa-bay-buccaneers-22141,nfl,tampa-bay-buccaneers,21d,http://espn.com/blog/tampa-bay-buccaneers/post/_/id/22141/bruce-arians-bucs-staff-has-arizona-cardinals-temple-influences
12,Bill Barnwell,story-link,25834281,nfl,tampa-bay-buccaneers,23d,http://www.espn.com/nfl/story/_/id/25834281/predicting-2019-vegas-win-totals-unders-all-32-nfl-teams
13,Jeff Legwold,story-link,nflnation-293067,nfl,tampa-bay-buccaneers,24d,http://espn.com/blog/nflnation/post/_/id/293067/why-a-500-point-season-doesnt-mean-much-at-the-super-bowl
14,Jenna Laine,story-link,tampa-bay-buccaneers-22131,nfl,tampa-bay-buccaneers,26d,http://espn.com/blog/tampa-bay-buccaneers/post/_/id/22131/bucs-casual-guy-mike-evans-embracing-bigger-leadership-role
0,ESPN.com,story-link,25998951,nfl,denver-broncos,1d,http://www.espn.com/nfl/story/_/id/25998951/how-nfl-worst-quarterbacks-improve-2019
1,Bill Barnwell,story-link,26020410,nfl,denver-broncos,17h,http://www.espn.com/nfl/story/_/id/26020410/five-2019-offseason-moves-afc-west-team-make-bill-barnwell-predicts-trades-free-agency-cuts
2,Jeff Legwold,story-link,denver-broncos-32932,nfl,denver-broncos,1d,http://espn.com/blog/denver-broncos/post/_/id/32932/john-elways-most-important-offseason-since-his-first-as-broncos-gm
3,Jeff Legwold,story-link,26003377,nfl,denver-broncos,5d,http://www.espn.com/nfl/story/_/id/26003377/denver-broncos-likely-not-exercise-option-lb-brandon-marshall
4,Jeff Legwold,story-link,denver-broncos-32974,nfl,denver-broncos,5d,http://espn.com/blog/denver-broncos/post/_/id/32974/broncos-biggest-need-now-is-finding-chris-harris-jr-a-partner
5,Jeff Legwold,story-link,denver-broncos-32958,nfl,denver-broncos,7d,http://espn.com/blog/denver-broncos/post/_/id/32958/joe-flaccos-arrival-is-still-not-the-long-term-solution-broncos-need-at-qb
6,Bill Barnwell,story-link,25988157,nfl,denver-broncos,7d,http://www.espn.com/nfl/story/_/id/25988157/grading-joe-flacco-trade-ravens-broncos-how-did-denver-get-here
7,Adam Schefter,story-link,25988060,nfl,denver-broncos,7d,http://www.espn.com/nfl/story/_/id/25988060/baltimore-ravens-trade-joe-flacco-denver-broncos
8,Jeff Legwold,story-link,denver-broncos-32919,nfl,denver-broncos,9d,http://espn.com/blog/denver-broncos/post/_/id/32919/broncos-have-plenty-of-needs-to-fill-in-free-agency
9,Jeff Legwold,story-link,denver-broncos-32903,nfl,denver-broncos,12d,http://espn.com/blog/denver-broncos/post/_/id/32903/broncos-out-of-the-box-hiring-of-vic-fangio-validated-by-super-bowl
10,Jeff Legwold,story-link,denver-broncos-32886,nfl,denver-broncos,15d,http://espn.com/blog/denver-broncos/post/_/id/32886/hall-of-fame-owner-pat-bowlen-led-broncos-with-humility
11,Jeff Legwold,story-link,25908742,nfl,denver-broncos,17d,http://www.espn.com/nfl/story/_/id/25908742/pro-football-hall-fame-8-person-class-includes-ed-reed-ty-law-champ-bailey-tony-gonzalez
12,Jeff Legwold,story-link,nflnation-293392,nfl,denver-broncos,18d,http://espn.com/blog/nflnation/post/_/id/293392/pro-football-hall-of-fame-meet-the-newest-members
13,ESPN.com,story-link,25851745,nfl,denver-broncos,19d,http://www.espn.com/nfl/story/_/id/25851745/who-vote-pro-football-hall-fame-48-nfl-analysts-pick-their-class-2019
14,Jeff Legwold,story-link,denver-broncos-32874,nfl,denver-broncos,21d,http://espn.com/blog/denver-broncos/post/_/id/32874/phillip-lindsay-hopes-to-be-ready-for-bigger-2019-season
15,Jeff Legwold,story-link,25881467,nfl,denver-broncos,21d,http://www.espn.com/nfl/story/_/id/25881467/broncos-hire-tc-mccartney-quarterbacks-coach
16,Bill Barnwell,story-link,25834281,nfl,denver-broncos,23d,http://www.espn.com/nfl/story/_/id/25834281/predicting-2019-vegas-win-totals-unders-all-32-nfl-teams
17,Jeff Legwold,story-link,denver-broncos-32869,nfl,denver-broncos,23d,http://espn.com/blog/denver-broncos/post/_/id/32869/new-broncos-offensive-coordinator-aims-to-go-back-to-old-reliable-scheme
0,Bill Barnwell,story-link,26020410,nfl,kansas-city-chiefs,17h,http://www.espn.com/nfl/story/_/id/26020410/five-2019-offseason-moves-afc-west-team-make-bill-barnwell-predicts-trades-free-agency-cuts
1,ESPN.com,story-link,kansas-city-chiefs-26176,nfl,kansas-city-chiefs,2d,http://espn.com/blog/kansas-city-chiefs/post/_/id/26176/watch-this-no-look-alliance-of-america-football-pass-even-impressed-patrick-mahomes
2,ESPN.com,story-link,26003959,nfl,kansas-city-chiefs,2d,http://www.espn.com/nfl/story/_/id/26003959/2019-franchise-tag-candidates-predictions-all-32-nfl-teams
3,Jeremy Willis,story-link,25995553,nfl,kansas-city-chiefs,6d,http://www.espn.com/nfl/story/_/id/25995553/nfl-teams-send-their-valentines
4,Adam Teicher,story-link,25980515,nfl,kansas-city-chiefs,8d,http://www.espn.com/nfl/story/_/id/25980515/dc-matt-house-leave-kentucky-join-chiefs-staff
5,Adam Teicher,story-link,25945133,nfl,kansas-city-chiefs,13d,http://www.espn.com/nfl/story/_/id/25945133/chiefs-gm-no-more-basketball-patrick-mahomes
6,Jeremy Willis,story-link,25932328,nfl,kansas-city-chiefs,14d,http://www.espn.com/nfl/story/_/id/25932328/nfl-2018-quiz-how-well-do-remember-season
7,Adam Teicher,story-link,kansas-city-chiefs-26151,nfl,kansas-city-chiefs,15d,http://espn.com/blog/kansas-city-chiefs/post/_/id/26151/mvp-mentality-no-moment-too-big-for-patrick-mahomes
8,Ben Fawkes,story-link,25916952,nfl,kansas-city-chiefs,16d,http://www.espn.com/chalk/story/_/id/25916952/kansas-city-chiefs-early-favorites-win-super-bowl-liv-next-season
9,Adam Schefter,story-link,25909987,nfl,kansas-city-chiefs,17d,http://www.espn.com/nfl/story/_/id/25909987/fan-flashed-laser-tom-brady-banned-arrowhead-stadium-face-charges
10,Adam Schefter,story-link,25913825,nfl,kansas-city-chiefs,17d,http://www.espn.com/nfl/story/_/id/25913825/rematches-rams-saints-patriots-chiefs-contenders-2019-season-opener
0,Bill Barnwell,story-link,26020410,nfl,los-angeles-chargers,18h,http://www.espn.com/nfl/story/_/id/26020410/five-2019-offseason-moves-afc-west-team-make-bill-barnwell-predicts-trades-free-agency-cuts
1,Eric Williams,story-link,26010898,nfl,los-angeles-chargers,4d,http://www.espn.com/nfl/story/_/id/26010898/jaylen-watkins-los-angeles-chargers-agree-1-year-deal
2,Jeremy Willis,story-link,25995553,nfl,los-angeles-chargers,6d,http://www.espn.com/nfl/story/_/id/25995553/nfl-teams-send-their-valentines
3,Eric Williams,story-link,25991408,nfl,los-angeles-chargers,6d,http://www.espn.com/nfl/story/_/id/25991408/corey-liuget-option-picked-los-angeles-chargers
4,Eric Williams,story-link,25989477,nfl,los-angeles-chargers,6d,http://www.espn.com/nfl/story/_/id/25989477/los-angeles-chargers-gm-sees-potential-aaf-developmental-league-nfl
5,Eric Williams,story-link,los-angeles-chargers-25982,nfl,los-angeles-chargers,14d,http://espn.com/blog/los-angeles-chargers/post/_/id/25982/chargers-back-to-hating-super-bowl-champion-patriots-this-offseason
6,Eric Williams,story-link,los-angeles-chargers-26008,nfl,los-angeles-chargers,8d,http://espn.com/blog/los-angeles-chargers/post/_/id/26008/chargers-offensive-lineman-forrest-lamp-ready-for-his-shot
7,Jeremy Willis,story-link,25932328,nfl,los-angeles-chargers,14d,http://www.espn.com/nfl/story/_/id/25932328/nfl-2018-quiz-how-well-do-remember-season
8,Ben Fawkes,story-link,25916952,nfl,los-angeles-chargers,16d,http://www.espn.com/chalk/story/_/id/25916952/kansas-city-chiefs-early-favorites-win-super-bowl-liv-next-season
9,Eric Williams,story-link,los-angeles-chargers-25969,nfl,los-angeles-chargers,21d,http://espn.com/blog/los-angeles-chargers/post/_/id/25969/chargers-free-agent-tyrell-williams-says-hes-a-no-1-receiver
10,Eric Williams,story-link,los-angeles-chargers-25956,nfl,los-angeles-chargers,22d,http://espn.com/blog/los-angeles-chargers/post/_/id/25956/melvin-gordon-on-rams-in-the-super-bowl-i-need-those-boys-to-lose
11,Bill Barnwell,story-link,25834281,nfl,los-angeles-chargers,23d,http://www.espn.com/nfl/story/_/id/25834281/predicting-2019-vegas-win-totals-unders-all-32-nfl-teams
12,Eric Williams,story-link,los-angeles-chargers-25926,nfl,los-angeles-chargers,29d,http://espn.com/blog/los-angeles-chargers/post/_/id/25926/next-up-for-chargers-tight-end-hunter-henry-a-little-rest-and-more-rehab
13,Eric Williams,story-link,25788654,nfl,los-angeles-chargers,33d,http://www.espn.com/nfl/story/_/id/25788654/los-angeles-chargers-talk-new-contract-philip-rivers
14,Alden Gonzalez,story-link,los-angeles-chargers-25664,nfl,los-angeles-chargers,48d,http://espn.com/blog/los-angeles-chargers/post/_/id/25664/is-this-philip-rivers-last-best-chance-at-an-elusive-super-bowl-title
15,ESPN.com,story-link,25752270,nfl,los-angeles-chargers,35d,http://www.espn.com/nfl/story/_/id/25752270/biggest-looming-2019-free-agent-decisions-all-32-nfl-teams
16,Mike Sando,story-link,25760521,nfl,los-angeles-chargers,36d,http://insider.espn.com/nfl/insider/story/_/id/25760521/re-grading-every-nfl-team-2018-offseason-moves
17,Eric Williams,story-link,los-angeles-chargers-25908,nfl,los-angeles-chargers,37d,http://espn.com/blog/los-angeles-chargers/post/_/id/25908/with-philip-rivers-super-bowl-window-closing-chargers-must-improve
0,ESPN.com,story-link,25998951,nfl,oakland-raiders,1d,http://www.espn.com/nfl/story/_/id/25998951/how-nfl-worst-quarterbacks-improve-2019
1,Bill Barnwell,story-link,26020410,nfl,oakland-raiders,17h,http://www.espn.com/nfl/story/_/id/26020410/five-2019-offseason-moves-afc-west-team-make-bill-barnwell-predicts-trades-free-agency-cuts
2,Michael Rothstein,story-link,25976163,nfl,oakland-raiders,8d,http://www.espn.com/nfl/story/_/id/25976163/lions-attempt-deflect-hard-knocks-season-raiders
3,Paul Gutierrez,story-link,oakland-raiders-22757,nfl,oakland-raiders,9d,http://espn.com/blog/oakland-raiders/post/_/id/22757/where-will-the-raiders-play-in-2019-oakland-san-francisco-santa-clara-parts-unknown
4,Bill Barnwell,story-link,25901330,nfl,oakland-raiders,9d,http://www.espn.com/espn/feature/story/_/id/25901330/predicting-2019-nfl-offseason-dominoes-free-agents-trades-cause-ripples
5,Jeff Legwold,story-link,nflnation-293392,nfl,oakland-raiders,18d,http://espn.com/blog/nflnation/post/_/id/293392/pro-football-hall-of-fame-meet-the-newest-members
6,Paul Gutierrez,story-link,oakland-raiders-22734,nfl,oakland-raiders,20d,http://espn.com/blog/oakland-raiders/post/_/id/22734/is-there-a-roadmap-for-tom-flores-to-finally-get-to-canton
7,Paul Gutierrez,story-link,oakland-raiders-22712,nfl,oakland-raiders,22d,http://espn.com/blog/oakland-raiders/post/_/id/22712/raiders-could-focus-on-several-players-from-the-senior-bowl
8,Bill Barnwell,story-link,25834281,nfl,oakland-raiders,23d,http://www.espn.com/nfl/story/_/id/25834281/predicting-2019-vegas-win-totals-unders-all-32-nfl-teams
9,Paul Gutierrez,story-link,oakland-raiders-22693,nfl,oakland-raiders,25d,http://espn.com/blog/oakland-raiders/post/_/id/22693/welcome-to-jon-grudens-qb-camp-senior-bowl-style
0,ESPN.com,story-link,25998951,nfl,arizona-cardinals,1d,http://www.espn.com/nfl/story/_/id/25998951/how-nfl-worst-quarterbacks-improve-2019
1,Bill Barnwell,story-link,25966875,nfl,arizona-cardinals,6d,http://www.espn.com/nfl/story/_/id/25966875/five-2019-offseason-moves-nfc-team-make-bill-barnwell-predicts-trades-free-agency-cuts
2,Josh Weinfuss,story-link,arizona-cardinals-31408,nfl,arizona-cardinals,7d,http://espn.com/blog/arizona-cardinals/post/_/id/31408/nfl-draft-three-scenarios-for-cardinals-to-trade-out-of-first-pick
3,Josh Weinfuss,story-link,25982277,nfl,arizona-cardinals,7d,http://www.espn.com/nfl/story/_/id/25982277/kliff-kingsbury-clarifies-kyler-murray-praise-says-josh-rosen-our-guy
4,ESPN NFL Experts,story-link,25973524,nfl,arizona-cardinals,8d,http://insider.espn.com/nfl/insider/story/_/id/25973524/nfl-experts-predict-kyler-murray-perfect-fit-2019-nfl-draft
5,Nick Wagoner,story-link,25937385,nfl,arizona-cardinals,13d,http://insider.espn.com/nfl/insider/story/_/id/25937385/nfl-draft-2019-scouts-decide-arizona-cardinals-do-no-1-pick
6,Jeremy Willis,story-link,25932328,nfl,arizona-cardinals,14d,http://www.espn.com/nfl/story/_/id/25932328/nfl-2018-quiz-how-well-do-remember-season
7,Jeff Legwold,story-link,nflnation-293392,nfl,arizona-cardinals,18d,http://espn.com/blog/nflnation/post/_/id/293392/pro-football-hall-of-fame-meet-the-newest-members
8,Josh Weinfuss,story-link,25888207,nfl,arizona-cardinals,20d,http://www.espn.com/nfl/story/_/id/25888207/here-stay
0,ESPN.com,story-link,26003959,nfl,los-angeles-rams,2d,http://www.espn.com/nfl/story/_/id/26003959/2019-franchise-tag-candidates-predictions-all-32-nfl-teams
1,Lindsey Thiry,story-link,los-angeles-rams-39978,nfl,los-angeles-rams,2d,http://espn.com/blog/los-angeles-rams/post/_/id/39978/rams-have-plenty-of-decisions-to-make-this-offseason-on-defense
2,Bill Barnwell,story-link,25966875,nfl,los-angeles-rams,6d,http://www.espn.com/nfl/story/_/id/25966875/five-2019-offseason-moves-nfc-team-make-bill-barnwell-predicts-trades-free-agency-cuts
3,Mike Sando,story-link,25968738,nfl,los-angeles-rams,8d,http://insider.espn.com/nfl/insider/story/_/id/25968738/how-patriots-rams-look-very-different-2019
4,Jeremy Willis,story-link,25932328,nfl,los-angeles-rams,14d,http://www.espn.com/nfl/story/_/id/25932328/nfl-2018-quiz-how-well-do-remember-season
5,Lindsey Thiry,story-link,25933124,nfl,los-angeles-rams,14d,http://www.espn.com/nfl/story/_/id/25933124/todd-gurley-limited-opportunities-los-angeles-rams-super-bowl-loss-sean-mcvay-says
6,Lindsey Thiry,story-link,los-angeles-rams-39971,nfl,los-angeles-rams,15d,http://espn.com/blog/los-angeles-rams/post/_/id/39971/after-disappointing-super-bowl-rams-qb-jared-goff-has-to-prove-he-can-bounce-back-again
7,David Purdum,story-link,25926820,nfl,los-angeles-rams,15d,http://www.espn.com/chalk/story/_/id/25926820/new-jersey-sportsbooks-lost-45-million-super-bowl-bets
8,Kevin Seifert,story-link,25926181,nfl,los-angeles-rams,15d,http://www.espn.com/nfl/story/_/id/25926181/super-bowl-liii-viewership-lowest-2007-season
9,Katherine Terrell,story-link,25924806,nfl,los-angeles-rams,15d,http://www.espn.com/nfl/story/_/id/25924806/bengals-name-zac-taylor-10th-head-coach-franchise-history
10,Lindsey Thiry,story-link,los-angeles-rams-39641,nfl,los-angeles-rams,16d,http://espn.com/blog/los-angeles-rams/post/_/id/39641/rams-fall-short-of-super-bowl-title-but-likely-contenders-for-years-to-come
11,Bill Barnwell,story-link,25921740,nfl,los-angeles-rams,16d,http://www.espn.com/nfl/story/_/id/25921740/super-bowl-liii-was-greatest-defensive-performance-history-here-how-patriots-did-rams
12,Ian O'Connor,story-link,25916069,nfl,los-angeles-rams,17d,http://www.espn.com/nfl/story/_/id/25916069/super-bowl-liii-appreciate-new-england-patriots-dynasty-greatest-sports-2018-nfl-playoffs
13,Lindsey Thiry,story-link,25921886,nfl,los-angeles-rams,16d,http://www.espn.com/nfl/story/_/id/25921886/felt-good
0,ESPN.com,story-link,26003959,nfl,san-francisco-49ers,2d,http://www.espn.com/nfl/story/_/id/26003959/2019-franchise-tag-candidates-predictions-all-32-nfl-teams
1,Nick Wagoner,story-link,san-francisco-49ers-33539,nfl,san-francisco-49ers,2d,http://espn.com/blog/san-francisco-49ers/post/_/id/33539/kyler-murrays-decision-could-mean-big-things-for-49ers-draft
2,Nick Wagoner,story-link,san-francisco-49ers-33498,nfl,san-francisco-49ers,5d,http://espn.com/blog/san-francisco-49ers/post/_/id/33498/49ers-trying-to-find-best-use-for-solomon-thomas-arik-armstead
3,Bill Barnwell,story-link,25966875,nfl,san-francisco-49ers,6d,http://www.espn.com/nfl/story/_/id/25966875/five-2019-offseason-moves-nfc-team-make-bill-barnwell-predicts-trades-free-agency-cuts
4,Nick Wagoner,story-link,san-francisco-49ers-33483,nfl,san-francisco-49ers,7d,http://espn.com/blog/san-francisco-49ers/post/_/id/33483/49ers-have-much-to-consider-in-potential-pursuit-of-antonio-brown
5,Bill Barnwell,story-link,25901330,nfl,san-francisco-49ers,9d,http://www.espn.com/espn/feature/story/_/id/25901330/predicting-2019-nfl-offseason-dominoes-free-agents-trades-cause-ripples
6,Jeremy Willis,story-link,25932328,nfl,san-francisco-49ers,14d,http://www.espn.com/nfl/story/_/id/25932328/nfl-2018-quiz-how-well-do-remember-season
7,Nick Wagoner,story-link,san-francisco-49ers-33465,nfl,san-francisco-49ers,15d,http://espn.com/blog/san-francisco-49ers/post/_/id/33465/nfl-drafts-deep-class-of-pass-rushers-begins-to-take-shape
8,Dan Graziano,story-link,25886188,nfl,san-francisco-49ers,16d,http://www.espn.com/nfl/story/_/id/25886188/ten-bold-nfl-predictions-2019-season-landing-spot-leveon-foles
9,Nick Wagoner,story-link,san-francisco-49ers-33443,nfl,san-francisco-49ers,20d,http://espn.com/blog/san-francisco-49ers/post/_/id/33443/49ers-keep-key-assistants-in-midst-of-coaching-changes
10,Bill Barnwell,story-link,25834281,nfl,san-francisco-49ers,23d,http://www.espn.com/nfl/story/_/id/25834281/predicting-2019-vegas-win-totals-unders-all-32-nfl-teams
11,Jeff Legwold,story-link,nflnation-293067,nfl,san-francisco-49ers,24d,http://espn.com/blog/nflnation/post/_/id/293067/why-a-500-point-season-doesnt-mean-much-at-the-super-bowl
12,Nick Wagoner,story-link,25834367,nfl,san-francisco-49ers,27d,http://www.espn.com/nfl/story/_/id/25834367/san-francisco-49ers-exercise-earl-mitchell-option
0,ESPN.com,story-link,26003959,nfl,seattle-seahawks,2d,http://www.espn.com/nfl/story/_/id/26003959/2019-franchise-tag-candidates-predictions-all-32-nfl-teams
1,Bill Barnwell,story-link,25966875,nfl,seattle-seahawks,6d,http://www.espn.com/nfl/story/_/id/25966875/five-2019-offseason-moves-nfc-team-make-bill-barnwell-predicts-trades-free-agency-cuts
2,Brady Henderson,story-link,seattle-seahawks-32472,nfl,seattle-seahawks,8d,http://espn.com/blog/seattle-seahawks/post/_/id/32472/seahawks-may-need-shaquem-griffin-to-replace-k-j-wright
3,Brady Henderson,story-link,seattle-seahawks-32448,nfl,seattle-seahawks,15d,http://espn.com/blog/seattle-seahawks/post/_/id/32448/whats-next-for-seahawks-rashaad-penny-after-muted-rookie-season
4,Bill Barnwell,story-link,25901330,nfl,seattle-seahawks,9d,http://www.espn.com/espn/feature/story/_/id/25901330/predicting-2019-nfl-offseason-dominoes-free-agents-trades-cause-ripples
5,Jeremy Willis,story-link,25932328,nfl,seattle-seahawks,14d,http://www.espn.com/nfl/story/_/id/25932328/nfl-2018-quiz-how-well-do-remember-season
6,Adam Schefter,story-link,25913964,nfl,seattle-seahawks,17d,http://www.espn.com/nfl/story/_/id/25913964/russell-wilson-seahawks-talked-new-deal-qb
7,Jeff Legwold,story-link,25908742,nfl,seattle-seahawks,17d,http://www.espn.com/nfl/story/_/id/25908742/pro-football-hall-fame-8-person-class-includes-ed-reed-ty-law-champ-bailey-tony-gonzalez
8,Bill Barnwell,story-link,25834281,nfl,seattle-seahawks,23d,http://www.espn.com/nfl/story/_/id/25834281/predicting-2019-vegas-win-totals-unders-all-32-nfl-teams
9,Jeff Legwold,story-link,nflnation-293067,nfl,seattle-seahawks,24d,http://espn.com/blog/nflnation/post/_/id/293067/why-a-500-point-season-doesnt-mean-much-at-the-super-bowl
10,Brady Henderson,story-link,seattle-seahawks-32433,nfl,seattle-seahawks,28d,http://espn.com/blog/seattle-seahawks/post/_/id/32433/russell-wilsons-extension-will-be-steep-if-it-happens-at-all
